,uen,entity_name,entity_status_description,block,address,level_no,unit_no,building_name,postal_code,primary_ssic_code,primary_ssic_description,secondary_ssic_code,secondary_ssic_description
75,202038307N,top asiaco,Live Company,17,PUAY HEE AVENUE,na,na,SENNETT ESTATE,348119,46413,Wholesale of children and infants͛ clothing,46412,na
76,202518043Z,thara bloom,Live Company,808A,CHAI CHEE ROAD,2,118,PING YI GREENS,461808,46413,Wholesale of children and infants͛ clothing,46900,na
77,53380745W,tiny totz,Live,783B,WOODLANDS RISE,na,na,WOODLANDS PASTURE I,732783,46413,Wholesale of children and infants͛ clothing,46412,RETAIL OF INFANT WEAR
78,53424801B,the project room,Live,7,AMBER GARDENS,4,20,ONE AMBER,439974,46413,Wholesale of children and infants͛ clothing,46439,OEM ITEMS FOR KIDS AND BABIES
79,53501309D,twl marketing,Live,80,PLAYFAIR ROAD,2,17,KAPO FACTORY BUILDING,367998,46413,Wholesale of children and infants͛ clothing,47719,na
80,202414916R,vital active,Live Company,987,SERANGOON ROAD,na,na,na,328147,46413,Wholesale of children and infants͛ clothing,46429,na
81,201500409W,warabee,Live Company,63,JALAN PEMIMPIN,1,2,PEMIMPIN INDUSTRIAL BUILDING,577219,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
82,202229957K,wwfx plus,Live Company,124,KIM TIAN PLACE,12,229,na,160124,46413,Wholesale of children and infants͛ clothing,na,na
83,202444023Z,wondborn,Live Company,51,GOLDHILL PLAZA,20,7,na,308900,46413,Wholesale of children and infants͛ clothing,62011,na
84,202500617D,winsun holdings s,Live Company,7,GAMBAS CRESCENT,8,15,ARK@GAMBAS,757087,46413,Wholesale of children and infants͛ clothing,na,na
85,201217777K,xclusive kids,Live Company,60,KAKI BUKIT PLACE,2,9,EUNOS TECHPARK,415979,46413,Wholesale of children and infants͛ clothing,47712,Retail sale of children and infants͛ clothing
86,53202478L,xiang xiang underwear wholesale trading,Live,333,KANG CHING ROAD,7,266,na,610333,46413,Wholesale of children and infants͛ clothing,46412,na
87,202438198E,yst holding,Live Company,1,BUKIT BATOK CRESCENT,3,16,WCEGA PLAZA,658064,46413,Wholesale of children and infants͛ clothing,46303,na
